21000000,21000000,1527,1527,21000000,21000000,1527,1527,21000000,1527,21000000,21000000,21000000,1527,1527,21000000,1527,1527,1527,21000000,21000000,21000000,1527,1527,21000000,21000000,21000000,1527,21000000,21000000,21000000,21000000,21000000,21000000,21000000,1527,1527,21000000,1527,21000000,21000000,1527,21000000,21000000,21000000,16030
21000000,21000000,1527,21000000,21000000,21000000,1527,1527,21000000,1527,21000000,21000000,21000000,1527,1527,21000000,1527,1527,1527,21000000,21000000,21000000,21000000,21000000,21000000,21000000,1527,1527,21000000,21000000,21000000,21000000,1527,21000000,21000000,1527,21000000,21000000,1527,21000000,21000000,21000000,21000000,1527,21000000,16030
21000000,21000000,21000000,21000000,21000000,21000000,1527,21000000,21000000,1527,21000000,21000000,21000000,1527,1527,21000000,21000000,1527,1527,21000000,1527,21000000,21000000,21000000,21000000,21000000,21000000,1527,1527,21000000,21000000,21000000,1527,21000000,21000000,1527,21000000,21000000,1527,21000000,21000000,21000000,21000000,21000000,1527,16030
16030,21000000,21000000,21000000,21000000,21000000,21000000,21000000,21000000,1527,21000000,21000000,21000000,1527,1527,21000000,1527,1527,1527,21000000,21000000,21000000,21000000,21000000,21000000,21000000,1527,1527,1527,21000000,21000000,21000000,21000000,21000000,21000000,1527,1527,1527,21000000,21000000,21000000,21000000,21000000,21000000,1527,16030
21000000,21000000,1527,1527,21000000,21000000,21000000,21000000,21000000,1527,21000000,21000000,21000000,1527,1527,21000000,1527,1527,21000000,21000000,21000000,21000000,21000000,21000000,1527,21000000,1527,1527,1527,21000000,21000000,21000000,21000000,21000000,21000000,1527,21000000,1527,1527,21000000,21000000,21000000,21000000,1527,1527,16030
21000000,21000000,21000000,1527,21000000,21000000,21000000,21000000,21000000,1527,21000000,21000000,21000000,21000000,1527,21000000,1527,21000000,21000000,21000000,21000000,21000000,1527,21000000,21000000,21000000,21000000,1527,1527,21000000,21000000,21000000,21000000,21000000,21000000,1527,21000000,1527,1527,21000000,21000000,21000000,21000000,1527,1527,16030
21000000,21000000,1527,1527,21000000,21000000,1527,21000000,21000000,1527,21000000,21000000,1527,21000000,1527,21000000,21000000,21000000,21000000,1527,21000000,21000000,1527,21000000,21000000,1527,1527,21000000,1527,21000000,21000000,100,21000000,21000000,1527,1527,1527,21000000,21000000,21000000,21000000,21000000,1527,1527,21000000,16030
16030,21000000,1527,1527,21000000,21000000,1527,1527,21000000,1527,21000000,21000000,21000000,1527,1527,21000000,21000000,1527,1527,1527,21000000,21000000,1527,21000000,21000000,21000000,21000000,1527,21000000,21000000,21000000,1527,21000000,21000000,1527,1527,1527,21000000,1527,21000000,21000000,1527,21000000,1527,21000000,16030
16030,21000000,1527,1527,21000000,21000000,1527,1527,21000000,1527,21000000,21000000,21000000,1527,1527,21000000,21000000,1527,21000000,1527,21000000,100,21000000,21000000,21000000,21000000,21000000,1527,1527,21000000,21000000,1527,21000000,21000000,1527,1527,1527,21000000,21000000,21000000,21000000,1527,1527,1527,1527,16030
21000000,21000000,1527,21000000,21000000,21000000,1527,1527,21000000,1527,21000000,21000000,1527,1527,1527,21000000,21000000,1527,21000000,21000000,5148,5148,5148,21000000,21000000,21000000,21000000,1527,1527,21000000,21000000,1527,1527,21000000,1527,1527,1527,1527,1527,21000000,21000000,1527,1527,1527,1527,16030
16030,21000000,21000000,1527,21000000,21000000,21000000,21000000,21000000,1527,21000000,21000000,1527,21000000,21000000,21000000,1527,1527,21000000,21000000,21000000,5148,21000000,21000000,21000000,5148,21000000,5148,5148,21000000,1527,1527,1527,21000000,1527,1527,21000000,21000000,1527,21000000,21000000,21000000,1527,1527,21000000,16030
21000000,21000000,21000000,21000000,21000000,21000000,21000000,1527,21000000,1527,21000000,21000000,21000000,21000000,1527,21000000,1527,1527,21000000,5148,5148,5148,21000000,21000000,21000000,21000000,21000000,5148,5148,21000000,1527,1527,1527,21000000,1527,1527,21000000,1527,1527,21000000,21000000,21000000,1527,1527,21000000,16030
16030,21000000,1527,21000000,21000000,21000000,21000000,1527,21000000,1527,21000000,21000000,1527,21000000,1527,21000000,1527,21000000,21000000,21000000,5148,5148,5148,21000000,21000000,5148,5148,5148,21000000,5148,21000000,21000000,1527,21000000,21000000,21000000,1527,1527,1527,21000000,21000000,1527,1527,21000000,21000000,16030
16030,21000000,1527,1527,21000000,21000000,21000000,1527,21000000,1527,21000000,21000000,1527,21000000,1527,21000000,5148,21000000,21000000,21000000,21000000,5148,5148,21000000,21000000,5148,5148,5148,21000000,5148,21000000,21000000,1527,21000000,21000000,21000000,1527,21000000,1527,21000000,21000000,1527,1527,21000000,21000000,16030
16030,21000000,1527,1527,21000000,21000000,21000000,21000000,21000000,21000000,21000000,21000000,1527,21000000,21000000,21000000,5148,5148,21000000,21000000,5148,21000000,5148,5148,5148,5148,5148,21000000,21000000,21000000,21000000,21000000,21000000,21000000,21000000,21000000,1527,21000000,1527,21000000,21000000,21000000,1527,21000000,21000000,16030
16030,21000000,1527,1527,21000000,21000000,21000000,1527,21000000,1527,21000000,21000000,1527,21000000,21000000,21000000,21000000,5148,21000000,21000000,21000000,21000000,21000000,5148,21000000,5148,5148,21000000,21000000,21000000,21000000,21000000,21000000,21000000,21000000,21000000,1527,21000000,21000000,21000000,21000000,1527,1527,1527,21000000,16030
21000000,21000000,1527,1527,21000000,21000000,21000000,21000000,21000000,1527,21000000,21000000,21000000,21000000,5148,21000000,21000000,5148,5148,5148,21000000,21000000,5148,5148,5148,5148,5148,5148,21000000,5148,5148,5148,21000000,21000000,21000000,21000000,1527,21000000,21000000,21000000,21000000,1527,1527,21000000,1527,16030
16030,21000000,1527,1527,21000000,21000000,21000000,21000000,21000000,1527,21000000,21000000,1527,21000000,5148,21000000,21000000,5148,21000000,5148,21000000,21000000,21000000,21000000,21000000,21000000,5148,5148,21000000,5148,5148,5148,21000000,21000000,21000000,1527,1527,21000000,21000000,21000000,21000000,1527,1527,1527,1527,16030
16030,21000000,1527,21000000,21000000,21000000,1527,21000000,21000000,1527,21000000,21000000,1527,21000000,5148,21000000,5148,21000000,21000000,5148,21000000,21000000,21000000,21000000,21000000,5148,5148,5148,21000000,5148,21000000,5148,21000000,21000000,21000000,1527,1527,1527,1527,21000000,21000000,21000000,1527,1527,1527,16030
16030,21000000,1527,21000000,21000000,21000000,21000000,21000000,21000000,1527,21000000,21000000,1527,5148,5148,21000000,5148,21000000,21000000,5148,21000000,21000000,21000000,21000000,21000000,21000000,5148,21000000,5148,5148,21000000,5148,5148,21000000,1527,1527,1527,21000000,1527,21000000,21000000,21000000,1527,1527,1527,16030
21000000,21000000,1527,1527,21000000,21000000,21000000,1527,21000000,1527,21000000,21000000,5148,5148,5148,21000000,5148,21000000,21000000,5148,21000000,5148,5148,21000000,5148,21000000,21000000,21000000,5148,21000000,21000000,5148,5148,21000000,21000000,1527,1527,1527,1527,21000000,21000000,1527,1527,1527,21000000,16030
16030,21000000,1527,1527,21000000,21000000,21000000,1527,21000000,1527,21000000,21000000,5148,21000000,5148,21000000,5148,21000000,21000000,21000000,5148,5148,5148,21000000,5148,21000000,21000000,21000000,5148,21000000,21000000,5148,21000000,21000000,21000000,1527,1527,1527,1527,21000000,21000000,21000000,1527,1527,1527,16030
21000000,21000000,1527,1527,21000000,21000000,1527,21000000,21000000,1527,21000000,21000000,5148,5148,5148,21000000,5148,21000000,21000000,5148,5148,5148,5148,21000000,21000000,21000000,21000000,21000000,5148,5148,21000000,5148,21000000,21000000,21000000,1527,1527,21000000,1527,21000000,21000000,1527,1527,1527,1527,16030
21000000,21000000,1527,21000000,21000000,21000000,1527,21000000,21000000,21000000,21000000,21000000,5148,5148,5148,21000000,5148,21000000,21000000,5148,5148,5148,21000000,5148,5148,5148,21000000,21000000,5148,21000000,21000000,21000000,21000000,21000000,21000000,1527,1527,1527,1527,21000000,21000000,1527,1527,21000000,21000000,16030
21000000,21000000,1527,1527,21000000,21000000,1527,1527,21000000,1527,21000000,21000000,5148,5148,5148,21000000,21000000,21000000,21000000,5148,5148,21000000,5148,5148,5148,21000000,21000000,21000000,21000000,21000000,21000000,21000000,21000000,21000000,21000000,1527,1527,1527,21000000,21000000,21000000,1527,1527,1527,1527,16030
21000000,21000000,1527,1527,21000000,21000000,1527,1527,21000000,1527,21000000,21000000,5148,5148,5148,21000000,21000000,21000000,21000000,21000000,5148,21000000,5148,5148,5148,5148,21000000,21000000,21000000,5148,21000000,5148,5148,21000000,21000000,5148,1527,1527,1527,21000000,21000000,1527,21000000,1527,1527,16030
21000000,21000000,21000000,1527,21000000,21000000,21000000,1527,21000000,1527,21000000,21000000,5148,5148,5148,21000000,21000000,5148,21000000,5148,5148,5148,5148,5148,21000000,21000000,21000000,21000000,5148,21000000,21000000,5148,5148,21000000,5148,5148,1527,1527,21000000,21000000,21000000,21000000,1527,1527,1527,16030
21000000,21000000,21000000,1527,21000000,21000000,1527,1527,21000000,1527,21000000,21000000,5148,21000000,5148,21000000,5148,21000000,21000000,5148,21000000,5148,5148,21000000,21000000,21000000,21000000,21000000,5148,5148,21000000,5148,5148,21000000,5148,5148,1527,1527,1527,21000000,21000000,1527,1527,1527,1527,16030
21000000,21000000,21000000,1527,21000000,21000000,1527,1527,21000000,1527,21000000,21000000,21000000,5148,5148,21000000,5148,5148,21000000,21000000,5148,5148,5148,5148,21000000,21000000,21000000,21000000,5148,21000000,21000000,5148,5148,21000000,5148,5148,1527,1527,1527,21000000,21000000,21000000,1527,1527,1527,16030
16030,21000000,1527,100,21000000,21000000,1527,1527,21000000,1527,21000000,21000000,5148,5148,5148,21000000,5148,21000000,21000000,5148,5148,5148,21000000,5148,5148,21000000,21000000,21000000,5148,21000000,21000000,21000000,5148,21000000,5148,5148,1527,1527,1527,21000000,21000000,21000000,1527,1527,1527,16030
16030,21000000,21000000,21000000,21000000,21000000,1527,1527,21000000,1527,21000000,21000000,5148,5148,21000000,21000000,21000000,21000000,21000000,5148,5148,5148,5148,5148,5148,21000000,21000000,21000000,5148,21000000,5148,5148,5148,21000000,5148,5148,1527,1527,1527,21000000,21000000,21000000,1527,1527,1527,16030
16030,21000000,1527,21000000,21000000,21000000,1527,1527,21000000,1527,21000000,21000000,5148,5148,21000000,21000000,21000000,5148,21000000,5148,5148,5148,5148,21000000,21000000,21000000,21000000,21000000,5148,21000000,5148,5148,5148,21000000,5148,5148,1527,21000000,21000000,21000000,21000000,1527,1527,1527,1527,16030
16030,21000000,1527,21000000,21000000,21000000,1527,1527,21000000,1527,21000000,21000000,5148,5148,21000000,21000000,21000000,5148,21000000,21000000,5148,5148,21000000,5148,21000000,21000000,21000000,21000000,21000000,21000000,5148,5148,5148,21000000,5148,5148,1527,21000000,21000000,21000000,21000000,1527,1527,1527,1527,16030
16030,21000000,1527,21000000,21000000,21000000,1527,1527,21000000,1527,21000000,21000000,21000000,5148,5148,21000000,21000000,21000000,5148,5148,5148,21000000,21000000,5148,21000000,21000000,21000000,21000000,21000000,5148,5148,5148,5148,21000000,5148,5148,5148,21000000,21000000,21000000,21000000,21000000,21000000,1527,1527,16030
16030,21000000,1527,1527,21000000,21000000,1527,1527,21000000,1527,21000000,21000000,21000000,21000000,5148,21000000,21000000,21000000,5148,21000000,21000000,21000000,21000000,21000000,21000000,21000000,21000000,21000000,21000000,5148,21000000,5148,5148,21000000,5148,5148,5148,1527,21000000,21000000,21000000,1527,1527,1527,1527,16030
16030,21000000,21000000,1527,21000000,21000000,1527,1527,21000000,1527,21000000,21000000,21000000,21000000,5148,21000000,21000000,21000000,5148,21000000,21000000,5148,21000000,21000000,5148,21000000,21000000,21000000,21000000,5148,5148,5148,5148,21000000,5148,5148,5148,21000000,21000000,21000000,21000000,1527,1527,1527,1527,16030
16030,21000000,1527,1527,21000000,21000000,21000000,1527,21000000,1527,21000000,21000000,21000000,21000000,5148,21000000,21000000,21000000,21000000,5148,5148,100,21000000,21000000,21000000,21000000,21000000,21000000,21000000,5148,5148,5148,5148,21000000,5148,5148,5148,1527,21000000,21000000,21000000,21000000,1527,1527,1527,16030
21000000,21000000,1527,1527,21000000,21000000,1527,1527,21000000,5148,21000000,21000000,5148,5148,5148,21000000,21000000,21000000,21000000,5148,5148,21000000,21000000,21000000,5148,21000000,21000000,21000000,21000000,5148,5148,5148,21000000,21000000,5148,5148,5148,21000000,21000000,21000000,21000000,1527,21000000,1527,1527,16030
21000000,21000000,1527,1527,21000000,21000000,1527,1527,21000000,5148,21000000,21000000,5148,5148,5148,21000000,21000000,21000000,21000000,21000000,21000000,5148,21000000,21000000,5148,21000000,21000000,21000000,5148,21000000,5148,5148,21000000,21000000,5148,5148,5148,21000000,1527,21000000,21000000,21000000,1527,1527,21000000,16030
21000000,21000000,1527,1527,21000000,21000000,1527,1527,21000000,5148,21000000,21000000,5148,5148,5148,21000000,5148,21000000,21000000,5148,5148,5148,5148,21000000,21000000,5148,5148,5148,5148,21000000,5148,5148,5148,21000000,5148,5148,5148,21000000,1527,21000000,21000000,21000000,1527,1527,1527,16030
21000000,21000000,21000000,1527,21000000,21000000,1527,1527,21000000,5148,21000000,21000000,21000000,21000000,5148,21000000,5148,21000000,21000000,5148,5148,5148,5148,21000000,21000000,21000000,21000000,21000000,5148,21000000,5148,21000000,21000000,21000000,5148,5148,5148,21000000,1527,21000000,21000000,21000000,1527,21000000,100,16030
21000000,21000000,21000000,1527,21000000,21000000,1527,1527,21000000,5148,21000000,21000000,5148,21000000,5148,21000000,5148,21000000,21000000,5148,5148,5148,21000000,21000000,21000000,5148,5148,21000000,5148,21000000,5148,21000000,21000000,21000000,5148,5148,5148,21000000,1527,21000000,21000000,21000000,1527,21000000,1527,16030
21000000,21000000,1527,1527,21000000,21000000,1527,1527,21000000,5148,21000000,21000000,5148,21000000,5148,21000000,5148,21000000,5148,21000000,5148,21000000,21000000,5148,21000000,21000000,21000000,21000000,21000000,21000000,5148,21000000,21000000,21000000,5148,5148,5148,1527,1527,21000000,21000000,1527,1527,21000000,1527,16030
21000000,21000000,1527,1527,21000000,21000000,1527,1527,21000000,5148,21000000,21000000,5148,21000000,5148,21000000,5148,21000000,5148,21000000,5148,5148,21000000,5148,21000000,21000000,21000000,21000000,21000000,21000000,21000000,21000000,21000000,21000000,5148,5148,5148,1527,1527,21000000,21000000,1527,1527,1527,1527,16030
16030,21000000,1527,21000000,21000000,21000000,1527,1527,21000000,5148,21000000,21000000,5148,5148,5148,21000000,5148,21000000,21000000,21000000,5148,5148,21000000,5148,21000000,5148,21000000,5148,21000000,21000000,21000000,5148,21000000,21000000,5148,5148,5148,21000000,1527,21000000,21000000,1527,1527,1527,1527,16030
21000000,21000000,21000000,21000000,21000000,21000000,21000000,1527,21000000,5148,21000000,21000000,5148,5148,5148,21000000,5148,21000000,21000000,21000000,5148,5148,5148,5148,21000000,5148,21000000,5148,21000000,5148,5148,5148,5148,21000000,5148,5148,5148,1527,1527,21000000,21000000,1527,1527,1527,1527,16030
16030,21000000,1527,21000000,21000000,21000000,1527,1527,21000000,5148,21000000,21000000,5148,5148,5148,21000000,5148,5148,21000000,21000000,5148,21000000,5148,5148,21000000,5148,21000000,5148,21000000,21000000,5148,21000000,5148,21000000,5148,5148,5148,1527,1527,21000000,21000000,1527,1527,1527,1527,16030
21000000,21000000,1527,21000000,21000000,21000000,1527,1527,21000000,5148,21000000,21000000,5148,21000000,5148,21000000,5148,5148,21000000,5148,5148,5148,21000000,5148,21000000,21000000,21000000,5148,5148,21000000,5148,21000000,5148,21000000,5148,5148,1527,1527,1527,21000000,21000000,1527,1527,21000000,1527,16030
21000000,21000000,1527,21000000,21000000,21000000,21000000,1527,21000000,5148,21000000,21000000,5148,21000000,5148,21000000,5148,5148,21000000,21000000,5148,21000000,5148,5148,21000000,21000000,21000000,5148,21000000,5148,5148,21000000,5148,21000000,5148,5148,1527,1527,21000000,1527,21000000,21000000,1527,21000000,1527,16030
16030,21000000,1527,1527,21000000,21000000,1527,1527,21000000,5148,21000000,21000000,5148,5148,5148,21000000,5148,5148,5148,21000000,5148,5148,5148,21000000,21000000,21000000,21000000,21000000,21000000,5148,5148,21000000,5148,21000000,5148,5148,1527,1527,1527,21000000,21000000,21000000,1527,21000000,1527,16030
16030,21000000,1527,1527,21000000,21000000,1527,1527,21000000,100,21000000,21000000,5148,5148,5148,21000000,5148,5148,5148,21000000,5148,5148,5148,5148,5148,21000000,5148,21000000,5148,21000000,5148,21000000,21000000,21000000,5148,21000000,1527,1527,1527,21000000,21000000,21000000,1527,21000000,1527,16030
16030,21000000,1527,1527,21000000,21000000,1527,1527,21000000,5148,21000000,21000000,5148,5148,5148,21000000,5148,21000000,5148,21000000,5148,21000000,5148,21000000,5148,21000000,5148,21000000,5148,21000000,21000000,21000000,5148,21000000,5148,5148,1527,21000000,1527,21000000,21000000,21000000,1527,21000000,1527,16030
16030,21000000,1527,1527,21000000,21000000,1527,1527,21000000,5148,21000000,21000000,5148,5148,5148,21000000,21000000,21000000,5148,5148,21000000,21000000,21000000,5148,21000000,21000000,5148,21000000,5148,5148,21000000,21000000,5148,21000000,5148,5148,1527,21000000,1527,21000000,21000000,21000000,21000000,21000000,1527,16030
16030,21000000,21000000,1527,21000000,21000000,1527,1527,21000000,5148,21000000,21000000,5148,5148,5148,21000000,5148,5148,21000000,5148,21000000,5148,5148,5148,21000000,5148,21000000,21000000,21000000,5148,21000000,21000000,5148,21000000,5148,5148,1527,21000000,1527,21000000,21000000,21000000,1527,21000000,1527,16030
21000000,21000000,21000000,21000000,21000000,21000000,1527,1527,21000000,1527,21000000,21000000,5148,5148,5148,21000000,5148,5148,5148,5148,21000000,5148,5148,21000000,21000000,5148,5148,21000000,21000000,21000000,21000000,21000000,5148,21000000,5148,5148,1527,1527,1527,21000000,21000000,21000000,1527,21000000,1527,16030
21000000,21000000,21000000,1527,21000000,21000000,1527,21000000,21000000,1527,21000000,21000000,5148,5148,5148,21000000,5148,21000000,21000000,21000000,21000000,5148,21000000,5148,21000000,21000000,5148,21000000,5148,21000000,21000000,21000000,5148,21000000,5148,21000000,1527,1527,1527,21000000,21000000,1527,1527,21000000,21000000,16030
16030,21000000,21000000,1527,21000000,21000000,1527,1527,21000000,21000000,21000000,21000000,5148,5148,5148,21000000,5148,21000000,5148,21000000,21000000,21000000,5148,5148,5148,5148,5148,21000000,5148,21000000,21000000,5148,5148,21000000,5148,1527,1527,1527,1527,21000000,21000000,1527,1527,1527,21000000,16030
16030,21000000,1527,1527,21000000,21000000,1527,1527,21000000,21000000,21000000,21000000,5148,5148,21000000,21000000,21000000,21000000,5148,21000000,21000000,5148,5148,5148,5148,21000000,21000000,21000000,21000000,21000000,5148,5148,5148,21000000,5148,1527,1527,1527,1527,21000000,21000000,1527,21000000,1527,1527,16030
16030,21000000,1527,1527,21000000,21000000,21000000,1527,21000000,21000000,21000000,21000000,5148,5148,5148,21000000,21000000,5148,5148,21000000,5148,5148,5148,5148,5148,5148,5148,21000000,21000000,5148,21000000,5148,5148,21000000,5148,1527,1527,1527,1527,21000000,21000000,1527,21000000,1527,21000000,16030
16030,21000000,1527,1527,21000000,21000000,21000000,1527,21000000,21000000,21000000,21000000,21000000,5148,5148,21000000,5148,5148,5148,21000000,21000000,5148,5148,5148,5148,21000000,5148,5148,5148,5148,21000000,5148,21000000,21000000,1527,21000000,21000000,1527,1527,21000000,21000000,1527,21000000,1527,1527,21000000
16030,21000000,1527,1527,21000000,21000000,21000000,1527,21000000,1527,21000000,21000000,21000000,5148,21000000,21000000,5148,21000000,5148,21000000,21000000,21000000,21000000,5148,5148,5148,5148,5148,5148,21000000,5148,5148,5148,21000000,1527,1527,1527,21000000,1527,21000000,21000000,1527,21000000,21000000,1527,21000000
16030,21000000,1527,1527,21000000,21000000,1527,1527,21000000,1527,21000000,21000000,5148,5148,21000000,21000000,5148,21000000,5148,21000000,5148,5148,5148,5148,5148,5148,21000000,5148,21000000,21000000,5148,21000000,21000000,21000000,1527,1527,1527,21000000,21000000,21000000,21000000,1527,21000000,21000000,1527,21000000
16030,21000000,1527,21000000,21000000,21000000,1527,1527,21000000,21000000,21000000,21000000,5148,21000000,5148,21000000,21000000,5148,21000000,21000000,5148,5148,21000000,5148,21000000,5148,21000000,21000000,21000000,21000000,5148,21000000,21000000,21000000,1527,1527,1527,21000000,21000000,21000000,21000000,21000000,21000000,21000000,1527,21000000
16030,21000000,21000000,1527,21000000,21000000,1527,1527,21000000,21000000,21000000,21000000,5148,5148,5148,21000000,21000000,5148,5148,5148,21000000,5148,21000000,21000000,21000000,21000000,5148,21000000,5148,21000000,21000000,5148,21000000,21000000,21000000,1527,1527,21000000,21000000,21000000,21000000,21000000,21000000,1527,1527,21000000
21000000,21000000,21000000,21000000,21000000,21000000,1527,1527,21000000,1527,21000000,21000000,5148,5148,5148,21000000,21000000,5148,5148,5148,5148,21000000,21000000,21000000,21000000,21000000,21000000,21000000,21000000,21000000,5148,5148,21000000,21000000,21000000,1527,1527,1527,21000000,21000000,21000000,1527,21000000,1527,1527,21000000
21000000,21000000,1527,21000000,21000000,21000000,1527,21000000,21000000,21000000,21000000,21000000,1527,5148,5148,21000000,21000000,5148,5148,5148,5148,21000000,5148,5148,21000000,5148,21000000,21000000,21000000,21000000,5148,1527,1527,21000000,1527,1527,1527,21000000,1527,21000000,21000000,1527,21000000,21000000,21000000,21000000
16030,21000000,1527,21000000,21000000,21000000,1527,1527,21000000,1527,21000000,21000000,21000000,5148,21000000,21000000,21000000,100,5148,5148,5148,21000000,21000000,5148,21000000,21000000,21000000,21000000,5148,5148,5148,1527,1527,21000000,1527,1527,1527,21000000,1527,21000000,21000000,1527,1527,21000000,21000000,21000000
21000000,21000000,1527,21000000,21000000,21000000,1527,1527,21000000,1527,21000000,21000000,21000000,5148,5148,21000000,5148,100,5148,21000000,21000000,5148,21000000,5148,21000000,21000000,21000000,21000000,5148,21000000,21000000,21000000,1527,21000000,1527,1527,1527,21000000,1527,21000000,21000000,1527,1527,21000000,21000000,21000000
16030,21000000,21000000,1527,21000000,21000000,1527,1527,21000000,1527,21000000,21000000,1527,1527,5148,21000000,5148,5148,21000000,21000000,5148,5148,21000000,21000000,5148,5148,21000000,21000000,5148,21000000,21000000,1527,1527,21000000,21000000,1527,1527,21000000,1527,21000000,21000000,1527,1527,21000000,21000000,21000000
16030,21000000,21000000,1527,21000000,21000000,1527,1527,21000000,1527,21000000,21000000,1527,1527,21000000,21000000,21000000,21000000,5148,21000000,21000000,5148,21000000,21000000,5148,5148,5148,21000000,21000000,21000000,21000000,21000000,1527,21000000,21000000,1527,1527,21000000,1527,21000000,21000000,1527,1527,21000000,1527,21000000
16030,21000000,21000000,1527,21000000,21000000,1527,1527,21000000,1527,21000000,21000000,21000000,1527,21000000,21000000,5148,21000000,5148,21000000,21000000,5148,21000000,21000000,21000000,21000000,21000000,1527,21000000,21000000,1527,21000000,1527,21000000,1527,1527,1527,1527,1527,21000000,21000000,21000000,1527,21000000,21000000,21000000
21000000,21000000,1527,1527,21000000,21000000,1527,21000000,21000000,1527,21000000,21000000,1527,1527,21000000,21000000,21000000,21000000,5148,21000000,21000000,5148,21000000,21000000,1527,21000000,1527,21000000,1527,21000000,21000000,1527,1527,21000000,1527,1527,1527,21000000,1527,21000000,21000000,1527,21000000,21000000,1527,21000000
16030,21000000,1527,1527,21000000,21000000,21000000,21000000,21000000,1527,21000000,21000000,1527,21000000,21000000,21000000,21000000,21000000,5148,5148,5148,5148,21000000,21000000,21000000,21000000,21000000,1527,1527,21000000,21000000,1527,1527,21000000,1527,1527,1527,1527,21000000,21000000,21000000,1527,21000000,1527,1527,21000000
16030,21000000,1527,21000000,21000000,21000000,1527,1527,21000000,1527,21000000,21000000,1527,21000000,21000000,21000000,21000000,1527,1527,5148,100,1527,1527,21000000,1527,21000000,21000000,1527,21000000,21000000,1527,1527,1527,21000000,1527,21000000,1527,1527,21000000,21000000,21000000,21000000,21000000,1527,1527,21000000
16030,21000000,1527,21000000,21000000,21000000,21000000,1527,21000000,1527,21000000,1527,1527,21000000,21000000,21000000,21000000,1527,1527,1527,1527,1527,21000000,21000000,1527,21000000,21000000,1527,1527,21000000,1527,1527,1527,21000000,1527,1527,1527,1527,21000000,21000000,21000000,21000000,1527,1527,1527,21000000
